date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-02-02,100.3282,100.9016,98.7678,100.8546,4657062,4657062,0.977623,0.979,99.8161,"Feb 2, 15",0.47748711194842136
2015-02-03,100.911,101.5221,100.1308,101.3435,4192622,4192622,0.48881,0.485,101.084,"Feb 3, 15",0.4846493380544352
2015-02-04,100.4222,102.2177,100.347,101.4469,4768858,4768858,0.103401,0.102,101.5906,"Feb 4, 15",0.4861641144491208
2015-02-05,101.8229,103.2235,101.8229,102.2929,3297724,3297724,0.846016,0.834,102.4098,"Feb 5, 15",0.4985577394965492
2015-02-06,102.0767,102.8381,100.7606,101.1461,3661416,3661416,-1.1468,-1.121,101.6242,"Feb 6, 15",0.4817574922100352
2015-02-09,100.5162,100.8076,99.9052,100.1026,3909714,3909714,-1.0434,-1.032,100.348,"Feb 9, 15",0.46647055635070717
2015-02-10,100.8264,102.8945,100.7042,102.4339,5437375,5437375,2.3312,2.329,101.9913,"Feb 10, 15",0.5006233436711204
2015-02-11,102.2083,103.4585,101.8793,103.2611,3798477,3798477,0.82722,0.808,102.9208,"Feb 11, 15",0.512741554828606
2015-02-12,104.0601,104.1353,102.3023,103.2517,3378023,3378023,-0.009402,-0.009,102.9994,"Feb 12, 15",0.5126038478836346
2015-02-13,103.1107,103.2516,102.1613,102.8757,3727640,3727640,-0.376009,-0.364,102.6789,"Feb 13, 15",0.5070955700847775
2015-02-17,102.7817,103.1765,102.0109,103.1765,3430589,3430589,0.300806,0.292,102.9211,"Feb 17, 15",0.5115021923238632
2015-02-18,102.4621,103.6089,102.4151,103.1859,2958730,2958730,0.009402,0.009,103.0727,"Feb 18, 15",0.5116398992688346
2015-02-19,102.9697,103.7405,102.8757,103.4303,2674820,2674820,0.244405,0.237,103.4152,"Feb 19, 15",0.5152202798380917
2015-02-20,103.3645,106.053,102.8757,105.8649,4647067,4647067,2.4346,2.354,104.8778,"Feb 20, 15",0.550886378585691
2015-02-23,106.2128,109.5028,106.0812,109.4182,7059978,7059978,3.5533,3.356,108.8697,"Feb 23, 15",0.6029410687523895
2015-02-24,109.2866,109.5874,108.403,108.5064,3582753,3582753,-0.911816,-0.833,108.8633,"Feb 24, 15",0.5895834950901613
2015-02-25,108.873,108.873,106.899,107.2092,3845920,3845920,-1.2972,-1.196,107.4012,"Feb 25, 15",0.5705799366841044
2015-02-26,107.5476,107.745,106.57,106.8426,3126809,3126809,-0.366608,-0.342,107.0089,"Feb 26, 15",0.565209365830219
2015-02-27,106.946,107.3972,106.6076,106.8144,4016356,4016356,-0.028199,-0.026,107.0242,"Feb 27, 15",0.5647962449953047
2015-03-02,106.946,107.9612,106.9272,107.5382,2952183,2952183,0.723813,0.678,107.4203,"Mar 2, 15",0.5753996797581045
2015-03-03,107.1152,107.6228,105.6205,106.0906,3163749,3163749,-1.4476,-1.346,106.1278,"Mar 3, 15",0.5541928102325048
2015-03-04,105.5171,107.1293,104.9531,106.993,3180942,3180942,0.902417,0.851,106.4114,"Mar 4, 15",0.5674126769497616
2015-03-05,107.228,108.779,107.228,107.9048,2941428,2941428,0.911819,0.852,108.0454,"Mar 5, 15",0.58077025061199
2015-03-06,108.2526,108.2526,105.8546,106.1094,3196855,3196855,-1.7954,-1.664,106.4869,"Mar 6, 15",0.5544682241224476
2015-03-09,106.194,108.0646,106.1,108.0082,3942031,3942031,1.8988,1.79,107.5765,"Mar 9, 15",0.5822850270066757
2015-03-10,107.4066,107.5476,105.7145,105.7145,3957926,3957926,-2.2936,-2.124,106.3752,"Mar 10, 15",0.5486830674661481
2015-03-11,106.4833,107.1341,106.2381,106.3135,2593672,2593672,0.598961,0.567,106.5793,"Mar 11, 15",0.5574582227893273
2015-03-12,106.8794,108.5111,106.7191,108.3507,3258580,3258580,2.0372,1.916,108.0601,"Mar 12, 15",0.5873025406931346
2015-03-13,107.9357,108.8318,107.0775,108.6997,3066826,3066826,0.348974,0.322,108.2764,"Mar 13, 15",0.5924152772670738
2015-03-16,109.4071,111.9442,109.2373,111.7839,4692162,4692162,3.0841,2.837,111.2713,"Mar 16, 15",0.6375978048926983
2015-03-17,111.3689,111.416,110.2714,110.9162,3303518,3303518,-0.867713,-0.776,110.8004,"Mar 17, 15",0.624886281897836
2015-03-18,110.7558,113.6702,110.0956,113.142,5533519,5533519,2.2259,2.007,112.106,"Mar 18, 15",0.6574935285060699
2015-03-19,113.1797,114.2172,113.01,113.8966,4032485,4032485,0.754532,0.667,113.7818,"Mar 19, 15",0.6685481732587761
2015-03-20,114.453,114.6228,112.2366,112.3686,7195722,7195722,-1.5279,-1.342,113.1423,"Mar 20, 15",0.6461634698634209
2015-03-23,112.6893,113.6325,111.8499,112.2743,4576531,4576531,-0.094319,-0.084,112.8007,"Mar 23, 15",0.6447820055112076
2015-03-24,112.1423,112.8402,111.3689,111.4066,3054689,3054689,-0.86771,-0.773,111.8687,"Mar 24, 15",0.6320704825163452
2015-03-25,112.0951,112.944,109.8881,109.9164,3385513,3385513,-1.4902,-1.338,111.2134,"Mar 25, 15",0.6102395368358751
