,Date,Close, Volume, Open, High, Low
2168,2018-10-08,223.77," 28,784,550.00 ",222.21,224.8,220.2
2169,2018-10-09,226.87," 26,656,630.00 ",223.64,227.27,222.25
2170,2018-10-10,216.36," 41,084,070.00 ",225.46,226.35,216.05
2171,2018-10-11,214.45," 52,902,320.00 ",214.52,219.5,212.32
2172,2018-10-12,222.11," 39,494,770.00 ",220.42,222.88,216.84
2173,2018-10-15,217.36," 30,280,450.00 ",221.16,221.83,217.27
2174,2018-10-16,222.15," 28,802,550.00 ",218.93,222.99,216.76
2175,2018-10-17,221.19," 22,692,880.00 ",222.3,222.64,219.34
2176,2018-10-18,216.02," 32,389,280.00 ",217.86,219.74,213.0
2177,2018-10-19,219.31," 32,874,330.00 ",218.06,221.26,217.43
2178,2018-10-22,220.65," 28,751,540.00 ",219.79,223.36,218.94
2179,2018-10-23,222.73," 38,681,170.00 ",215.83,223.25,214.7
2180,2018-10-24,215.09," 39,992,120.00 ",222.6,224.23,214.54
2181,2018-10-25,219.8," 29,027,340.00 ",217.71,221.38,216.75
2182,2018-10-26,216.3," 47,191,700.00 ",215.9,220.19,212.67
2183,2018-10-29,212.24," 45,713,690.00 ",219.19,219.69,206.09
2184,2018-10-30,213.3," 36,487,930.00 ",211.15,215.18,209.27
2185,2018-10-31,218.86," 38,016,810.00 ",216.88,220.45,216.62
2186,2018-11-01,222.22," 52,954,070.00 ",219.05,222.36,216.81
2187,2018-11-02,207.48," 91,046,560.00 ",209.55,213.65,205.43
2188,2018-11-05,201.59," 66,072,170.00 ",204.3,204.39,198.17
2189,2018-11-06,203.77," 31,774,720.00 ",201.92,204.72,201.69
2190,2018-11-07,209.95," 33,291,640.00 ",205.97,210.06,204.13
2191,2018-11-08,208.49," 25,289,270.00 ",209.98,210.12,206.75
2192,2018-11-09,204.47," 34,317,760.00 ",205.55,206.01,202.25
2193,2018-11-12,194.17," 50,991,030.00 ",199.0,199.85,193.79
2194,2018-11-13,192.23," 46,725,710.00 ",191.63,197.18,191.45
2195,2018-11-14,186.8," 60,547,340.00 ",193.9,194.48,185.93
2196,2018-11-15,191.41," 46,271,660.00 ",188.39,191.97,186.9
2197,2018-11-16,193.53," 36,191,330.00 ",190.5,194.97,189.46
2198,2018-11-19,185.86," 41,626,820.00 ",190.0,190.7,184.99
2199,2018-11-20,176.98," 67,678,680.00 ",178.37,181.47,175.51
2200,2018-11-21,176.78," 31,096,240.00 ",179.73,180.27,176.55
2201,2018-11-23,172.29," 23,623,970.00 ",174.94,176.6,172.1
2202,2018-11-26,174.62," 44,662,320.00 ",174.24,174.95,170.26
2203,2018-11-27,174.24," 41,156,140.00 ",171.51,174.77,170.88
