,Date,Open,High,Low,Close,Volume
807,2018-06-14,101.65,102.03,101.0,101.42,25691811
808,2018-06-15,101.51,101.53,100.07,100.13,65738585
809,2018-06-18,100.01,101.11,99.42,100.86,23586037
810,2018-06-19,99.65,101.0,99.5,100.86,28653087
811,2018-06-20,101.37,102.52,101.12,101.87,26180792
812,2018-06-21,102.08,102.46,100.88,101.14,23198188
813,2018-06-22,100.41,100.77,99.63,100.41,38923105
814,2018-06-25,100.0,100.11,97.3,98.39,35433333
815,2018-06-26,98.82,100.08,98.75,99.08,26897244
816,2018-06-27,99.58,100.02,97.4,97.54,31298386
817,2018-06-28,97.38,99.11,97.26,98.63,26650671
818,2018-06-29,98.93,99.91,98.33,98.61,28053214
819,2018-07-02,98.1,100.06,98.0,100.01,19564521
820,2018-07-03,100.48,100.63,98.94,99.05,14670275
821,2018-07-05,99.5,99.92,99.03,99.76,18977402
822,2018-07-06,99.89,101.43,99.67,101.16,19234627
823,2018-07-09,101.65,102.25,101.25,101.85,18211980
824,2018-07-10,102.0,102.51,101.86,102.12,19293140
825,2018-07-11,101.15,102.34,101.1,101.98,19644648
826,2018-07-12,102.77,104.41,102.73,104.19,24335929
827,2018-07-13,104.37,105.6,104.09,105.43,24653500
828,2018-07-16,105.4,105.82,104.52,104.91,21786912
829,2018-07-17,104.61,106.5,104.32,105.95,25901726
830,2018-07-18,105.94,106.05,104.72,105.12,29493927
831,2018-07-19,104.93,105.31,103.89,104.4,40171646
832,2018-07-20,108.08,108.2,106.08,106.27,56038827
833,2018-07-23,106.3,108.14,106.13,107.97,29706955
834,2018-07-24,108.57,108.82,107.26,107.66,26316619
835,2018-07-25,107.96,111.15,107.6,110.83,30798058
836,2018-07-26,110.74,111.0,109.5,109.62,31372110
837,2018-07-27,110.18,110.18,106.14,107.68,37005292
838,2018-07-30,107.19,107.53,104.76,105.37,34668327
839,2018-07-31,106.49,106.72,105.38,106.08,27655152
840,2018-08-01,106.03,106.45,105.42,106.28,23628699
841,2018-08-02,105.4,108.09,104.84,107.57,26104258
